titles,authors,nums,peoples
颠覆式创新：移动互联网时代的生存法则,李善友/李善友/2015-3-1,7.7,249
走出软件作坊,阿朱/电子工业出版社/2009-1/39.80,8.2,1793
为自己工作,[英]DavidAirey/侯鸿儒/人民邮电出版社/39,8.1,63
Venture Deals,JasonMendelson、BradFeld/Wiley/2011-8-2/USD49.95,8.2,31
创业时代,付遥/中信出版社/2015-7/39.8元,7,120
給未來的創新經營者,川島蓉子,8.2,10
24堂财富课,陈志武/理想国|台海出版社/2017-1/36,7.9,84
创业力(创业者的9堂必修课)(精),程江波/机械工业出版社/2017-3-1/59.00,7.5,157
重新定义战略,辛西娅·蒙哥马利/蒋宗强王立鹏/中信出版社/2016-1/45,8,81
史玉柱自述,优米网/同心出版社/2013-6-1/42.00元,7.1,3282
教训,腾讯科技频道/机械工业出版社/2014-8-1/39.00,7.5,195
管道的故事,（美）哈吉斯/江雅苓/中国对外翻译出版社/2002-04/11.80元,7.1,519
互联网+：小米案例版,刘润（著）、叶光森（整理）/北京联合出版公司/2015-5-1/42.00元,7.3,222
天下没有怀才不遇这回事,包益民/中信出版社/2010-10/26.00元,7.2,1225
北大15堂创业课,北京大学校友工作办公室、北京大学党委政策研究室编/北京大学出版社/2016-10/48.00元,7,20
重新定义管理,[美]布赖恩·罗伯逊/中信出版社/2015-10-1/45,7.5,132
在家就能读MBA,乔希·考夫曼/王占波曹雪周小雅/机械工业出版社/2012-1/48.00元,6.7,129
想开一个店：有胆有脑,文艺加萌研究所/九州出版社/2016-8/49.80元,7.6,102
我爱做书店,徐智明、高志宏/中信出版社/2009/35.00元,7.8,312
将心注入,"霍华德·舒尔茨(HowardSchultz)、多莉·琼斯·扬(DoriJonesYang)/中信财经出版社,中信出版集团/2015-8-1/CNY48.00",7.5,272
25岁，我赚了3个亿,GurbakshChahal/KeXueChuBanShe/2009-10/32.00元,6.6,133
我为什么要投资你,李晓艳/中国商业出版社/2012-5/39.80元,7.9,280
簡單思考,森川亮AkiraMorikawa/莊雅琇/天下文化/2015-10-30/台币280元,6.5,36
成为独角兽,[美]阿尔·拉马丹、[美]戴夫·彼得森、[美]克里斯托弗·洛克海德、[美]凯文·梅尼/田新雅/中信出版社/2017-9-1/48.00,7.7,105
创业公司的动态股权分配机制,蔡聪/机械工业出版社/2017-1/49元,7.4,47
一键下单,[美]理查德·勃兰特/马志彦/中信出版社/2013-1-13/36.00元,6.7,642
我们开店吧：72小时学会开咖啡店、奶茶店、甜品店,牧牧酱/现代出版社/2015-9-1/38,7.1,42
改变世界的创业者,[美]杰西卡•杰克利/付宁/中信出版社/2016-10/45,8.8,18
我是这样拿到风投的,（美国）安德鲁•查克阿拉基斯、（美国）史蒂芬•史宾纳利、（美国）杰弗里•蒂蒙斯/梁超群、杨欣、王立伟/机械工业出版社/39,7.3,55
报童瑞恩,[美]杰佛里·福克斯/田丽/中国青年出版社/2009-6/23.00元,8.5,150
當和尚遇到鑽石,麥可．羅區，譯／項慧齡/橡樹林/20011030/NT$320,8.8,70
家事的撫慰（下冊）,CherylMendelson/甘錫安/大家出版社/2014-1-28/NT$520,8.7,61
情商高就是说话让人舒服,朱凌、常清/延边大学出版社/2016-10/38,5.9,124
从领先到极致,[加拿大]伊萨多·夏普/赵何娟/光明日报出版社/2015-7-15/49.80元,7.1,71
产品型社群,李善友/机械工业出版社/2015-3-1/CNY69.00,7.1,359
股权战争,苏龙飞/北京大学出版社/2012-11/45.00元,8.5,560
创能量,林正刚/浙江人民出版社/2015-4/42.90,8.8,67
如何定义孵化器,梅晨斐/浙江大学出版社/2016-3/42.00,7.2,63
维珍创业经,[英]理查德·布兰森/方颖/中信出版社/2015-1/52.00元,6.8,68
