titles,authors,nums,peoples
品牌洗脑（珍藏版）,[美]马丁•林斯特龙（MartinLindstrom）/赵萌萌/中信出版社/2016-8-1/49.00,8.1,180
小丰广告檄文选,丰信东/2008-5出版/68,7.8,29
广告摄影技术教程,刘立宾/中国摄影出版社/1995-1/138.00元,9.9,32
创意之道,石原义久/中国青年出版社/2012-8-1/45.00元,7.7,147
亲吻销售,[美]罗伯特·索耶（RobertSawyer）/蔡春华/广西美术出版社/2012-7/128.00元,7.5,58
关于策略我有看法,黄文博/机械工业出版社/2004-5/29.80元,7.7,49
新定位,[美]杰克·特劳特、史蒂夫·瑞维金/李正栓、贾纪芳/中国财政经济出版社/2002-10/39.80元,7.6,724
Cutting Edge Advertising,JimAitchison、NeilFrench/PrenticeHallPTR/1999-8-15/USD29.99,7.6,10
爱看书的广告,范用编/生活·读书·新知三联书店/2015-9/38.00,7,18
从小白到美术指导,玄光福/人民邮电出版社/2016-9-12/59元,8.1,35
不守规则创意Book,[美]BobGill/邱顺应/湖南美术出版社/2002-1/29.00元,8,55
创意人,詹宏志/人民交通出版社/2003-9-1/18.00,6.8,43
The Hidden Persuaders,VancePackard/IgPublishing/2007-7-1/USD16.95,7.8,10
设计师不读书,奥斯汀·豪/一熙/重庆大学出版社/2015-7-24/35,8.6,80
管理品牌资产,戴维·阿克/吴进操、常小虹/机械工业出版社/2012-3/42.00元,7.4,235
Ogilvy on Advertising,DavidOgilvy/Vintage/1985-03-12/USD24.95,8,57
"Truth, Lies, and Advertising",JonSteel/Wiley/1998-3-13/USD50.00,8.8,30
THE ART DIRECTION BOOK,D&AD/D&AD/2007.12/280,8.5,30
卓越广告,吉姆·艾奇逊(Aitchison.J.)/北京大学出版社/2005-12-1/68.00元,8,63
奥美的观点(2),宋秩铭庄淑芬/企业管理出版社/2000-10/36.00,7.4,182
叶茂中策划想（下卷）,叶茂中营销策划机构，，，/机械工业出版社/2007-2/45.00元,7.7,134
A Technique for Producing Ideas,JamesYoung/McGraw-Hill/2003-01-21/USD6.95,8.3,40
创意笔记本4,高桥宣行/曹逸冰/中信出版股份有限公司/2014-5-1/CNY32.00,8.6,48
方法,文武文/中国线装书局/2003-10/39.80元,7.2,112
广告与营销策划,2013-1/88.00元,8.4,11
商业宣传片私作品：文案、创意、策划,任立民/华中科技大学出版社/2015-1/32.00元,6.8,24
实用文案与活动策划撰写技巧及实例全书,金岩/中华工商联合出版社/2014-9/45.00元,5.9,29
一个媒体推手的自白,瑞安·霍利迪/潘丽君/广东人民出版社/2013-6/38.00元,7.5,225
广告文案名人堂,丹尼斯・希金斯/顾奕/中国财政经济出版社/2004-1-1/29.80元,7.5,82
