titles,authors,nums,peoples
银行的秘密,默里·罗斯巴德/李文浩钟帅等译、杨农审校/清华大学出版社/2011-9/52.00元,8.7,220
金融怪杰,杰克·施瓦格/韩晓文、和玉虹、李晓民/中国经济出版社/2012-7/36.00元,8.4,245
花旗帝国,（美）莫尼卡•兰利/刘晶晶/中信出版社/2005-01/38.00,7.9,335
Efficiently Inefficient,LasseHejePedersen/PrincetonUniversityPress/2015-4-13/USD46.95,8.9,30
交易心理分析,马克·道格拉斯/刘真如/电子工业出版社/2011-3/58.00元,8,617
金融求职宝典：玩转金融业的正确姿势,金融小伙伴/中国市场出版社/2016-9-30/39.80元,9.2,208
量化投资策略,理查德·托托里罗/上海交通大学出版社/2013-5/98.00元,7.6,82
企业上市审核标准实证解析,张兰田/北京大学/2011-1/48.00元,9.3,65
商业冒险,[美]约翰·布鲁克斯/李晟、陈然、段歆玥/北京联合出版公司/2015-5-10/59.80元,7.1,502
Black Edge,SheelahKolhatkar/RandomHouse/2017-2-7/USD28.00,9,39
力挽狂澜：保罗•沃尔克和他改变的金融世界,【美】威廉·西尔伯(WilliamSilber)/綦相、刘丽娜/上海财经大学出版社/2013-9/68.00元,8.6,127
风险投资交易,[美]布拉德·菲尔德、[美]杰森·门德尔松/桂曙光/机械工业出版社/2014-8/49.00元,9.2,69
24堂财富课,陈志武/当代中国出版社/2009年/25.00元,7.9,1645
亲历投行,班妮/中国法制出版社/2013-10-10/38.00,7.3,975
债,[美]大卫·格雷伯/董子云、孙碳/中信出版社/2012-11/69.00元,8.3,156
证券分析师的最佳实践指南,詹姆斯J.瓦伦丁/王洋/机械工业出版社/2012-1/78.00元,8.3,216
中国货币史,彭信威/上海人民出版社/2007-12/120.00元,9.2,115
滚雪球（下）,[美]艾丽斯·施罗德/覃扬眉、丁颖颖、张万伟、张春明、张艳云/中信出版社/2009-1/39.00,8.2,1697
股市长线法宝,杰里米J.西格尔/范霁瑶/机械工业出版社/2009-1/48.00元,8.2,269
罗斯柴尔德家族.第1部,尼尔·弗格森/顾锦生/中信出版社/2009-9/39.00元,7.5,246
应用公司财务,阿斯沃思·达摩达兰/芮萌、张逸民/中国人民大学出版社/2012-7/88.00元,10,10
海外并购交易全程实务指南与案例评析,张伟华/中国法制出版社/2016-2/112.00元,8.9,68
巴菲特的护城河,帕特·多尔西/刘寅龙/广东经济出版社/2009年11月/29.80元,8.6,1083
超越恐惧和贪婪,赫什·舍夫林/贺学会/上海财经大学出版社/2005-4/37.00元,8,150
Monkey Business,JohnRolfe、PeterTroob/BusinessPlus/2001-4-1/14.95美元,8.5,303
金融笔记,杨凯生/人民出版社/2016-10/56.00元,8.6,30
估值建模,诚迅金融培训公司实用投融资分析师认证考试教材编写组/中国金融/2011-6/82.00元,8.9,82
货币战争3,宋鸿兵/中华工商联合出版社/2011-1/39.90元,7.4,2540
1929年大崩盘,约翰·肯尼斯·加尔布雷思/上海财经大学出版社/2006-10/25.00元,7.6,580
中国企业跨境并购,李俊杰/机械工业出版社/2013-4/59.00元,8.8,131
金融投机史,（英）爱德华•钱塞勒/姜文波/机械工业出版社/2013-4/59.00元,8.1,82
金融战败,[日]吉川元忠/孙晓燕、袁英华/中国青年出版社/2000-01/9.50,8.5,237
走进我的交易室,［美］亚历山大·艾尔德/鲍烈/地震出版社/2007-11/68.00元,8.6,495
Market Wizards,JackD.Schwager/Collins/1993-01-27/USD17.00,9,86
两次全球大危机的比较研究,刘鹤/中国经济出版社/2013-2/65.00元,8.4,431
金融数据分析导论：基于R语言,（美）RueyS.Tsay/李洪成、尚秀芬、郝瑞丽/机械工业出版社/2013-10/69.00,8.5,62
股权投资基金运作,叶有明/复旦大学/2009-2/42.00元,8.5,204
非同寻常的大众幻想与群众性癫狂,（英）麦基/李绍光等/中国金融出版社/2000-05/29.00,7.8,327
估值的艺术：110个解读案例,尼古拉斯.斯密德林/李必龙、李羿/机械工业出版社/2015-8/59,8.2,65
债券市场分析和策略,弗兰克·J.法博兹/李伟平/北京大学/2007-1/76.00元,8.3,85
金融炼金术的终结,默文·金/中信出版社/2016-9-1/CNY79.00,7.8,70
股权资产估值,美）杰拉尔德E.平托、托马斯R.罗宾逊、伊莱恩•亨利、约翰D.斯托/刘醒云/机械工业出版社/2012-7-1/99.00元,9.2,36
在不确定的世界,罗伯特・鲁宾、李晓岗、王荣军、张凡/李晓岗、王荣军、张凡/中国社会科学出版社/2004-9-1/35.00元,8.1,406
不确定条件下的投资,(美)阿维纳什﹒迪克西特(AvinashK.Dixit)(美)罗伯特﹒平迪克(RobertS.Pindyck)、罗伯特·平迪克/阿维纳什·迪克西特/中国人民大学出版社/2002-11/49.0,9.3,38
中国是部金融史2,陈雨露、杨忠恕/九州出版社/2014-3-15/CNY39.80,8.4,256
固定收益证券手册,弗兰克·J·法博齐/中国人民大学出版社/2005-11/125.00元,8.8,72
巴菲特的投资组合,罗伯特・哈格斯特朗/江春/机械工业出版社/2000-06-01/20.00,8,250
劳阿毛说并购,劳志明/中国法制出版社/2015-11-1/CNY45.00,7.7,269
投资之道,理森/中信出版社/2012-8/46.00元,8.6,179
经济数据背后的财富密码,李迅雷/经济科学出版社/2017-6-28/68.00,7.8,55
比特币,李钧、长铗/中信出版社/2014-1-1/39.00元,7.2,616
量化交易,欧内斯特·陈/黄嵩/东北财经大学出版社/2014-1-1/28,7.6,136
金钱游戏,张建军编/地震出版社/2004-4/18.00元,8.5,343
Beat the Dealer,EdwardO.Thorp/Vintage/1966-4-12/USD13.00,8.8,33
期货大作手风云录—初入期海,逍遥刘强/东方出版社/2015-4/38,7.7,436
期权投资策略,劳伦斯G.麦克米伦/郑学勤/机械工业出版社/2010-1/128.00元,8,32
价值,蒂姆·科勒、理查德·多布斯、比尔·休耶特/金永红、倪晶晶、单丽翡/电子工业出版社/2012-1/45.00元,8.1,100
人为制造的脆弱性,[美]查尔斯·凯罗米里斯/廖岷、杨东宁、周叶菁/中信出版社/2015-9/88.00,8.5,53
金融帝国,迈克尔·赫德森/嵇飞、林小芳/中央编译出版社/2008/48.00元,8.3,252
金融的哲学,周洛华/西南财经大学出版社/2014-9-1/32.00,8.3,113
戴维斯王朝,[英]约翰﹒罗斯查得/胡雍丰、傅晶/东方出版社/2005-1/20.00元,7.9,189
货币战争5,宋鸿兵/长江文艺出版社/2014-1-1/46.00元,8,676
投资者的敌人,朱宁/中信出版社/2014-2/58.00,7.7,149
投资学精要,兹维·博迪、亚历克斯·凯恩、艾伦·马科斯/陈雨露/人民大学/2003-3/90.00元,8.5,144
一个农民的亿万传奇,傅海棠/中国经济出版社/2013-4/36.00元,8.5,234
私募股权基金筹备、运营与管理,刘乃进/法律出版社/2015-5-1/68.00元,8.5,67
与天为敌,伯恩斯坦/穆瑞年/机械工业出版社/2007年6月1日/38.00元,8,313
A Practical Guide To Quantitative Finance Interviews,XinfengZhou/Lulu.com/2008-4-9/GBP18.95,9.3,93
货币政策实施:理论、沿革与现状,乌尔里希·宾德赛尔(UlrichBindseil)/齐鹰飞/东北财经大学出版社/2013-12-1/36.8元,8.8,21
在股市大崩溃前抛出的人,（美）伯纳德·巴鲁克/张伟/机械工业出版社/2008-12-1/48.00元,8.3,244
炒股的智慧,陈江挺/经济科学出版社/2004-1/22.00元,8.9,2127
投资的护城河,[美]希瑟·布里林特（HeatherBrilliant）、[美]伊丽莎白·柯林斯（ElizabethCollins）/汤光华、张坚柯、罗维/人民邮电出版社/2016-10-1/CNY59.00,7.6,102
"与巴菲特共进午餐时,我顿悟到的5个真理",盖伊•斯皮尔/张尧然、杨颖玥/中国青年出版社/2015-7-1/49,8.4,111
财富公式,威廉·庞德斯通/万卷出版公司/2008-1/32.00元,7.7,202
资产配置的艺术,戴维·达斯特/中国人民大学出版社/2009-11/36.00元,6.8,68
策略投资方法论,申银万国策略投资团队/山西人民出版社/2014-8-1/98.00,8.5,53
供应链金融,深圳发展银行－中欧国际工商学院“供应链金融”课题组/上海远东/2009/49.00元,8,146
风险投资家环球游记,吉姆·罗杰斯/上海人民出版社/2004-7/32.00元,8.4,794
Stochastic Calculus for Finance II,StevenE.Shreve/Springer/2008-6-19/GBP49.99,9.4,191
