titles,authors,nums,peoples
天幕红尘,豆豆/作家出版社/2013-6-1/36.00元,8.3,1440
模仿的技术,[日]井上达彦/兴远/世界图书出版公司·后浪出版公司/2014-9/28.00元,7.2,158
销售无处不在,廖敏夫/中国商业出版社/2013-1/32.80元,7.9,594
解密无印良品,[日]松井忠三/吕灵芝/新星出版社/2015-4/36.00元,7.4,612
大江东去（共三部）,阿耐/长江文艺出版社/2009-1/118.00元,9,3433
资本的规则,张巍（清澄君）/中国法制出版社/2017-6-1/69.00元,9,112
岁月凶猛,冯仑/中信出版集团/2017-2/59.00,7.8,142
贩卖音乐,[美]大卫·伊斯曼/左丽萍、周文慧/世界图书出版公司/2017-3-1/48.00元,6.8,56
绝对成交,〔美〕罗杰•道森（RogerDawson）/刘祥亚/重庆出版社/2009-4/38.00元,8.4,300
创业者手册,[美]史蒂夫·布兰克、[美]鲍勃·多夫/新华都商学院/机械工业出版社/2013-1/89.00元,8.2,181
计算广告,刘鹏、王超/人民邮电出版社/2015-9-1/69.00元,8.6,579
创京东,李志刚/中信出版社/2015-5-1/CNY49.80,7.1,1714
在线,王坚/中信出版集团股份有限公司/2016-9-1/CNY58.00,7.4,561
商业冒险,[美]约翰·布鲁克斯/李晟、陈然、段歆玥/北京联合出版公司/2015-5-10/59.80元,7.1,502
营销战,[美]艾·里斯、杰克·特劳特/李正栓、贾纪芳/中国财政经济出版社/2002-8/39.80元,8.2,510
销售的革命,尼尔·雷克汉姆、约翰·德文森蒂斯/陈叙/中国人民大学/2009-3/45.00元,8.6,208
餐巾纸上的创业课,神田昌典/蔡昭仪/重庆出版社/2009-12/26.80元,8.3,696
战略与结构,[美]艾尔弗雷德·D.钱德勒/孟昕/云南人民出版社/2002-10/55.00元,9.1,65
新管理革命,[美]戴维·布尔库什/赵竞欧/中信出版社/2017-7-1/49.00,7.1,43
集装箱改变世界,MARCLEVINSON/姜文波/机械工业出版社/2008-01/48.00元,7.7,602
市场营销原理,菲利普·科特勒、加里·阿姆斯特朗/楼尊/中国人民大学出版社/2010年4月1日/65.00元,9,213
超市里的原始人,[美]杰弗里·米勒（GeoffreyMiller)/苏健/浙江人民出版社/2017-1/69.90,7.4,183
疯狂的简洁,【美】肯·西格尔/王岑卉/北京联合出版公司/2013-7/42,7,544
消费森林×品牌再生,李永铨(口述)、张帝庄(撰文)/生活·读书·新知三联书店/2012-10/48.00元,8.5,631
如何改变世界,戴维·伯恩斯坦/吴士宏/新星出版社/2006-4/29.00元,8.6,668
富爸爸，穷爸爸,（美）罗伯特・T・清崎、莎伦・L・莱希特/杨君，杨明/世界图书出版公司/2000-09/18.80,8.2,26642
思考的技术,大前研一/刘锦秀、谢育容/中信出版社/2008年7月/25.00元,7.9,2577
马奇论管理,[美]詹姆斯·马奇/丁丹/东方出版社/2010-12/38.00元,9.1,109
钓愚,[美]乔治·阿克洛夫、罗伯特·席勒/张军/中信出版社/2016-2/59.00元,7,603
How Brands Grow,"Sharp,Byron/2010-4/$45.14",8.6,41
平台战略,陈威如、余卓轩/中信出版社/2013-1/58.00元,7.5,1197
盐糖脂,迈克尔•莫斯/张佳安/中信出版集团/2015-11-15/CNY52.00,7.3,221
理想丰满,冯仑/文化艺术出版社/2011-11/45.00元,7.6,2796
巨富,[美]克里斯蒂娅•弗里兰/周晋/中信出版社/2013-11/58.00元,7.6,611
群体的智慧,[美]詹姆斯·索罗维基/王宝泉/中信出版社/2010-10/33.00元,7.2,221
In The Plex,StevenLevy/Simon&Schuster/2011-4-12/USD29.95,8.8,355
迷恋,[美]莎莉·霍格斯黑德/邱璟旻/中华工商联合出版社有限责任公司/2011-11-1/39.90元,7.4,451
褚时健：影响企业家的企业家,先燕云、张赋宇/湖南文艺出版社/2014-11/45.00元,8.3,822
销售巨人1,[美]尼尔·雷克汉姆/石晓军/企业管理出版社/2004-5/50.00元,8.7,373
互联网思想十讲,段永朝/商务印书馆/2014-10/68.00,8.8,86
麦肯锡教我的写作武器,[日]高杉尚孝/郑舜珑/北京联合出版公司·后浪出版公司/2013-7/32.00元,7.7,1249
道路与梦想,王石、缪川/中信出版社/2006-1/36.00元,7.6,3756
伟大的博弈,[美]约翰·S.戈登/祁斌/中信出版社/2005-1/39.00元,8.3,10545
