titles,authors,nums,peoples
褚时健：影响企业家的企业家,先燕云、张赋宇/湖南文艺出版社/2014-11/45.00元,7.7,822
杰克·韦尔奇自传,（美）杰克.韦尔奇（JackWelch）、约翰.拜恩（JohnA.Byrne）/曹彦博、孙立明、丁浩/中信出版社/2004-5-1/29.00元,9,3604
大败局Ⅱ,吴晓波/浙江人民出版社/2010-7-1/29.0,8.8,49
摩根财团,罗恩·彻诺/金立群/中国财政经济出版社/2003-9/168.00元,7.4,280
只有偏执狂才能生存,[美]安德鲁.葛洛夫/安然/光明日报出版社/1997-5/15.00元,7.6,174
中国互联网风云16年,武帅/2011-9/45.00元,6.8,25
新浪之道,陈彤，曾祥雪/福建人民出版社/2005-1/35.00元,8.5,171
荣家企业史料 （下）,上海社会科学经济研究所编/上海人民出版社/1980/3.55元,9.1,10
股权战争,苏龙飞/北京大学出版社/2012-11/45.00元,7.3,560
行者王石,朱仰晴//樊俊杰/现代/2010-3/30.00元,6.2,47
In The Plex,StevenLevy/Simon&Schuster/2011-4-12/USD29.95,8.8,355
American Express,PeterZ.Grossman/RandomHouseValuePublishing/1987-6-3/USD.99,7.9,10
Borland传奇,李维/电子工业出版社/2003-4-1/28.00,8.3,554
基业长青,[美]吉姆·柯林斯，杰里·波勒斯/真如/中信出版社/2009-10/42.00元,7,1379
沃森父子与IBM王朝,理查德·S·泰德洛/中国人民大学出版社/2005-10/29.00元,8,31
荣家企业史料 （下）,上海社会科学经济研究所编/上海人民出版社/1980/3.55元,7.7,10
网络江湖三十六计,程苓峰，王晶/经济日报出版社/2009-6/40.00元,7.8,352
金融城的灰姑娘,彼得·斯托蒙思·达林/刘敬国/2009-9/48.00元,7.5,10
上海银行发展之路,傅建华/中国金融出版社/2005-6/48.00元,7.9,10
国商,言夏/当代中国/2008-3/30.00元,9.4,21
中国经济论坛-告别商界 牟其中与南德集团沉没的思考,1999-1/25.00元,9.1,10
One Billion Customers,JamesMcGregor/Simon&Schuster/2007-9-4/$15.00,9.1,2115
Wheels for the World,"Brinkley,DouglasG./PenguinBooks/2004-6-1/USD25.00",7,0
Taken for a Ride,BillVlasic、BradleyA.Stertz/HarperPaperbacks/2001-6-19/USD16.99,8.9,10
上帝、国家、可口可乐,（美）彭德格拉斯特/丁岚/广西人民出版社/2003-02/29.80,7.6,60
经济学思想史讲义,汪丁丁/上海人民出版社/2008.01/40.00元,7.3,533
硅谷商战,李彦宏/清华大学出版社/1999-1/19.80元,7.9,173
苦心经营,雷·克罗克、罗伯特·安德森/魏国强、张敬芬/新华出版社/1996/11.00,9.4,12
圈子圈套,王强/清华大学出版社/2006-1/26.00元,6.7,4686
激荡三十年,吴晓波/中信出版社/2017-11/116.00元,8.2,42
Google成功的七堂课,罗耀宗/电子工业出版社/2005-7/28.00元,7.8,161
父与子,（美）小托马斯·沃森、彼德·彼德/尹红等/新华出版社/1995/18.00,7.3,46
20世纪的欧洲,陈乐民/生活·读书·新知三联书店/2007-10-01/23.00元,7.9,126
农机巨人:迪尔,陈北/兰州大学出版社/1997-04/8.00,7.8,0
清末现代企业与官商关系,陈锦江/王笛、张箭/中国社会科学出版社/1997/15.00元,8.5,12
阅世心语,季羡林/陕西师范大学出版社/2007-9-1/29.80元,7.5,430
变革者,克来因/祝平/中信出版社/2004-5/25.00元,9.4,10
激荡三十年,吴晓波/中信出版社/2017-11/116.00元,7.3,42
颠覆者,[美]约翰·卡多/杨宇光/上海远东出版社/2007-7-1/38.00元,7.3,23
