titles,authors,nums,peoples
大气科学、海洋科学、水文科学,中国大百科全书出版社/1992-04/107.00,7.6,10
品牌策划,巨天中/第1版(2004年5月1日)/2004-5/25.0,9,0
引爆点,[美]马尔科姆·格拉德威尔/钱清、覃爱冬/中信出版社/2006-1/29.80元,7.4,2267
品牌策划36计,邵春/中国旅游出版社/2004-1/20.00元,7.6,10
品牌策划,巨天中/第1版(2004年5月1日)/2004-5/25.0,8.2,0
金牌策划（1）,廖灿/中国经济出版社/2004-05/43.0,8.6,10
品牌策划36计,邵春/中国旅游出版社/2004-1/20.00元,7.5,10
保健品广告的奥秘,姚曦/广东经济出版社/2004-1-1/44.00,8.2,10
用户体验的要素,JesseJamesGarrett/范晓燕/机械工业出版社/2007年10月/25.00,9,3780
新商业广告学,王国全/中山大学出版社/2007-8/38.00元,8.2,0
窥视印度,妹尾河童/姜淑玲/生活·读书·新知三联书店/2004-10/18.00,7.6,7464
The Manual of Museum Planning,"Lord,GailDexter(EDT)/Lord,Barry(EDT)/AltamiraPress/2000-3-9/USD69.95",9,10
怎样写领导讲话稿,赵华/民主法制出版社/2008-1/16.00元,7.6,42
笔花六照,梁羽生/广西师范大学出版社/2008年2月/39.00元,7.5,192
设计师谈网页色彩与风格,权智殷/电子工业出版社/2005-9/45.00元,8.2,83
巴黎．色彩魔法空間,EditionsdeParis/蔡欣芸/田園城市文化/2008-1-10/TWD260,7.4,421
金领,卫哲、王逍海/上海人民出版社/2005-9/35.00元,7.5,181
游戏设计完全教程,珍妮·诺瓦科/上海人民美术出版社/2008-1/138.00元,7.6,31
现代商务策划教程,周培玉/中国经济出版社/2005-9/32.00元,8.2,10
中国旅游策划,陈放/2003-1/38.00元,6.9,10
银行个人业务营销技巧,马蔚华/清华大学/2008-2/39.80元,7.1,13
品牌维他命,维传凯普传播机构/中国市场出版社/2008-1/56.00元,7.5,16
设计师谈网页色彩与风格,权智殷/电子工业出版社/2005-9/45.00元,8.2,83
The Manual of Museum Planning,"Lord,GailDexter(EDT)/Lord,Barry(EDT)/AltamiraPress/2000-3-9/USD69.95",7.6,10
身体·媒体,龚彦、里查德·卡斯特里/上海锦绣文章出版社/2007-7/78.00元,7.7,48
品牌维他命,维传凯普传播机构/中国市场出版社/2008-1/56.00元,7.1,16
女人就是要有钱,刘忆如/中信出版社/2007-6/22.00元,6.4,814
OFF学,大前研一/中信出版社/2007-7-1/28.00元,7,1277
营销策划实训教程,陈宝玉，王琼主编/华中科技大学出版社/2008-3/18.00元,6.9,10
银行个人业务营销技巧,马蔚华/清华大学/2008-2/39.80元,7.8,13
策略深呼吸,袁岳，赵玉峰著/航空工业/2008-1/28.00元,9,10
引爆点,[美]马尔科姆·格拉德威尔/钱清、覃爱冬/中信出版社/2006-1/29.80元,8.8,2267
怎样写领导讲话稿,赵华/民主法制出版社/2008-1/16.00元,7.6,42
现代厨房设计,[英]特伦斯·康兰（TerenceCo//2004-1/180.00元,8.2,10
獵命師傳奇 卷一,九把刀/蓋亞/2005-2/52.00元,7.5,1488
笔花六照,梁羽生/广西师范大学出版社/2008年2月/39.00元,6.9,192
广告策划与整合传播,高萍/传媒大学（原北广学院/2007-6/29.80元,8.8,10
台湾的茶叶,行政院農委/遠足文化/2003年09月12日/NT$400,7.8,10
百家讲坛,马瑞芳/作家出版社/2007-8/25.00元,6.2,119
优秀电视节目解析,魏南江/中国传媒大学出版社/2007-3/29.80元,6.8,32
360度品牌传播与管理,马克・布莱尔、迈克・墨菲、胡波、理查德・阿姆斯特朗/胡波/机械工业出版社/2004-9/28.00,7.2,94
个性化婚礼DIY,吴奇/中国建材工业出版社/2005-4/22.00元,6.7,10
