titles,authors,nums,peoples
项目管理知识体系指南,ProjectManagementInstitute（项目管理协会）/王勇、张斌/电子工业出版社/2009-8/98.00元,8.4,632
尽管去做,(美)戴维﹒艾伦/张静/中信出版社/2003-09-01/21.00元,8,2412
零售管理,[美]迈克尔·利维/俞利军、王欣红/人民邮电出版社/2004-9/68.00元,9.2,37
当和尚遇到钻石,麦克尔·罗奇格西/京华出版社/2005-5/26.80元,8.1,1343
清单革命,[美]阿图•葛文德（AtulGawande）/王佳艺/浙江人民出版社/2012-7-1/49.90元,7,1606
沃顿商学院最实用的谈判课（原书第2版）,（美）G.理查德•谢尔/林民旺、李翠英/机械工业出版社/2013-10/39.00,7.9,319
自我发现与重塑,【美】彼得•德鲁克、【美】克莱顿•克里斯坦森、【美】罗伯特•奎因/刘铮筝、万艳、蒋荟蓉/中信出版社/2015-11-11/45.00元,8.5,132
沟通的艺术（插图修订第14版）,[美]罗纳德·B·阿德勒、拉塞尔·F·普罗科特/黄素菲、李恩/世界图书出版公司·后浪出版公司/2015-1/68.00元,8.6,3614
管理：使命、责任、实务（实务篇）,彼得·德鲁克/王永贵/机械工业出版社/2006-6/42.00元,9.1,302
好战略，坏战略,理查德·鲁梅尔特/蒋宗强/中信出版社/2012-10/68.00元,8.1,288
商界局外人,[美]威廉·桑代克/许佳/北京联合出版公司/2016-9/59.90,8.5,123
六顶思考帽,爱德华·德·波诺/冯杨/北京科学技术出版社/2004-01-01/25.00,7.4,1823
大道当然,王石/中信出版社/2014-3/49.00元,7.9,1196
胜利的法则,[日]铃木博毅/邓一多/后浪丨江西人民出版社/2017-5/45.00元,7.6,31
一路向前,[美]霍华德·舒尔茨、[美]乔安·戈登/张万伟/中信出版社/2011-4-1/45.00,7.7,1479
做好领导的九大赢招,高城幸司/马金娥/南海出版公司/2013-1/29.80元,8.9,35
驱动力,[美]丹尼尔•平克/龚怡屏/中国人民大学出版社/2012-2/42.00元,7.5,792
番茄工作法图解,[瑞典]StaffanNöteberg/大胖/人民邮电出版社/2011-2/29.00元,7.7,10260
组织行为学,斯蒂芬·P·罗宾斯、蒂莫西A．贾奇/中国人民大学出版社/2008-1/69.00元,8.4,315
仆人,詹姆士·杭特JamesC.Hunter/張沛文/商周出版/2001/104,8.7,44
企业参谋,大前研一/裴立杰/中信出版社/2007-1/34.00元,8.3,324
人件,TomDeMarco、TimothyLister/UMLChina/清华大学出版社/2003-6/35.00元,8.2,1072
创业36条军规,孙陶然/中信出版社/2011-12/39.00元,8,1262
Getting Real,JasonFried、HeinemeierDavidHansson、MatthewLinderman/37signals/2009-11-18/USD24.99,9.1,917
海底捞你学不会,黄铁鹰/中信出版社/2011-3/39.00元,7.2,7025
指数型组织,萨利姆•伊斯梅尔(SalimIsmail)、迈克尔•马隆(MichaelS.Malone)、尤里•范吉斯特(YurivanGeest)/苏健/浙江人民出版社/2015-8-1/CNY69.90,7.7,256
稀缺,塞德希尔·穆来纳森、埃尔德·沙菲尔/魏薇、龙志勇/浙江人民出版社/2014-11/56.90元,7.5,3286
解密无印良品,[日]松井忠三/吕灵芝/新星出版社/2015-4/36.00元,7.4,612
逆向管理,【美】埃米尼亚·伊贝拉/王臻/北京联合出版公司/2016-7-8/48,7.6,458
公司的概念,彼得·德鲁克/幕凤丽/机械工业出版社/2006-3/38.00元,8.5,231
首先，打破一切常规,[美]马库斯·白金汉、柯特·科夫曼/鲍世修等/中国青年出版社/2002-5/23.80元/29.00元,7.9,1001
富甲美国,山姆·沃尔顿、约翰·休伊/杨蓓/江苏文艺出版社/2015-6-1/49.8,8.1,961
设计冲刺,[美]杰克·纳普、[美]约翰·泽拉茨基、[美]布拉登·科维茨/魏瑞莉、涂岩珺/浙江大学出版社/2016-8/58.00元,8.2,303
零秒工作,[日]赤羽雄二/许天小/后浪丨江西人民出版社/2017-1/36.00元,7.7,336
高绩效教练,（英）约翰•惠特默/林菲、徐中/机械工业出版社/2013-2/39.00元,8.1,266
餐巾纸上的创业课,神田昌典/蔡昭仪/重庆出版社/2009-12/26.80元,8.3,696
战略与结构,[美]艾尔弗雷德·D.钱德勒/孟昕/云南人民出版社/2002-10/55.00元,9.1,65
财务管理分析,罗伯特·C.希金斯/沈艺峰/北京大学出版社/2009-1/42.00元,8.9,65
如何改变世界,戴维·伯恩斯坦/吴士宏/新星出版社/2006-4/29.00元,8.6,668
新管理革命,[美]戴维·布尔库什/赵竞欧/中信出版社/2017-7-1/49.00,7.1,43
别独自用餐,[美]基思·法拉奇/施宇光/世界知识出版社/2010-10/32.00元,8,1830
腾讯方法,潘东燕、王晓明/机械工业出版社/2014-12-11/39.00,7.4,1018
创业者手册,[美]史蒂夫·布兰克、[美]鲍勃·多夫/新华都商学院/机械工业出版社/2013-1/89.00元,8.2,181
整理的艺术,（日）小山龙介/周洁/世界图书出版公司·后浪出版公司/2012-4/28.00元,6.8,2248
成为技术领导者,[美]杰拉尔德·温伯格/朱于军、李先华、朱赛春、裘强/清华大学出版社/2003-9/29.80元,8.3,279
褚时健：影响企业家的企业家,先燕云、张赋宇/湖南文艺出版社/2014-11/45.00元,8.3,822
打开餐巾纸,丹·罗姆/颜筝/中信出版社/2010-7/35.00元,7.6,433
以奋斗者为本,黄卫伟/中信出版社/2014-11-1/68.00元,7.5,427
咨询的奥秘,[美]杰拉尔德·温伯格(GeraldM.Weinberg)/李彤、关山松/清华大学出版社/2004/29.00元,8.1,456
激荡三十年（上）,吴晓波/中信出版社浙江人民出版社/2007-1/35.00,8.8,21320
硬球,（美）马修斯/林猛、吴群芳/新华出版社/2003-11/26.80元,8.3,1288
微习惯,[美]斯蒂芬·盖斯、StephenGuise/桂君/后浪出版公司·江西人民出版社/2016-11/38.00元,7.7,1918
商业冒险,[美]约翰·布鲁克斯/李晟、陈然、段歆玥/北京联合出版公司/2015-5-10/59.80元,7.1,502
管理的常识,陈春花/机械工业出版社/2010-1/36.00元,8.4,350
卖轮子,杰夫科克斯、霍华德史蒂文斯/李耀廷、张玲/中央编译出版社/2010-1/39.80元,8.9,730
12个工作的基本,[日]大久保幸夫/程亮/江西人民出版社·后浪出版公司/2016-9/36.00,8,386
市场营销原理,菲利普·科特勒、加里·阿姆斯特朗/楼尊/中国人民大学出版社/2010年4月1日/65.00元,9,213
走出软件作坊,阿朱/电子工业出版社/2009-1/39.80,8.2,1793
Case in Point,MarcP.Cosentino/BurgeePress/2005-09-05,9.1,303
21世纪的管理挑战,德鲁克/朱雁斌/机械工业出版社/2006-1/28.00元,8.6,522
麦肯锡教我的谈判武器,[日]高杉尚孝/程亮/北京联合出版公司·后浪出版公司/2016-1/29.80元,7.9,190
精益思想,（美）詹姆斯P.沃麦克（JamesP.Womack）、（英）丹尼尔T.琼斯（DanielT.Jones）/沈希瑾、张文杰、李京生/机械工业出版社/2011-4/48.00元,8.8,112
点球成金,迈克尔•刘易斯(MichaelLewis)/郑晓菊/法律出版社/2012-5-1/39.80元,8.4,285
决策与判断,斯科特·普劳斯/施俊琦、王星/人民邮电出版社/2004-9/28.00元,8.5,2780
最重要的事，只有一件,[美]加里·凯勒、[美]杰伊·帕帕森/张宝文/中信出版社/2015-11/35.00元,7.3,1233
让数字说话,金十七/中国财政经济出版社/2005-6-1/32.00元,8.9,1045
凤凰项目,基恩·金(GeneKim)、凯文·贝尔(KevinBehr)、乔治·斯帕福德(GeorgeSpafford)/成小留/人民邮电出版社/2015-9-1/CNY49.00,8.7,419
平台战略,陈威如、余卓轩/中信出版社/2013-1/58.00元,7.5,1197
谁说大象不能跳舞？,郭士纳/张秀琴等/中信出版社/2003-01/25.00,7.8,1828
