titles,authors,nums,peoples
华尔街股市投资经典,(美)詹姆斯.P.奥肖内西/王丹徐翌成等/经济科学出版社/1999-12/55.00,7.3,43
背离技术分析,江南小隐/中国宇航出版社/2013-3/29.80元,7.4,20
不落俗套的成功,大卫·F·斯文森/武倩/中国青年出版社/2009-4-1/36.00元,7.6,181
超级强势股,肯尼思L.费雪/高小红，迟云，钟雄鹰/机械工业/2009－1－1/38.00元,7.9,89
巴菲特之道,[美]玛莉•巴菲特（MaryBuffett）大卫•克拉克（DavidClark）著/欧冶译/中国人民大学出版社/2008.3/29.80元,7.5,104
大投机家的证券心理学,安德烈·科斯托拉尼/林琼娟/重庆出版集团（重庆出/2007-7/32.00元,7.6,316
投资之道,理森/中信出版社/2012-8/46.00元,8.6,179
趋势跟踪,迈克尔·卡沃尔/那希尧/广东经济出版社/2009-5/38.00元,6.6,156
Beat the Market,EdwardO.Thorp、SheenT.Kassouf/RandomHouse/1967-9-30/USD12.95,7.9,10
股票估值实用指南,加里·格雷/张甦伟、杨南超/上海财经大学出版社/2009-8/36.00元,7.3,67
股爷您上坐,王安/华艺出版社/2000-12/19.80,8.9,44
散户至上,（美）阿瑟•莱维特，葆拉•德怀尔/陈剑萍，严莉/中信出版社/2005-01/28.00,7.8,80
How to Make Money in Stocks,WilliamJ.O'Neil/McGraw-HillEducation/2009-7-16/GBP17.99,8.6,38
蜡烛图精解,格列高里·莫里斯/杜焱/中国财政经济出版社/2004-6/39.80元,7.4,76
墨菲论市场互动分析: 教您掌握全球金融市场关系的获利法则,墨菲/罗耀宗/寰宇出版股份有限公司/2006/460元,9,29
一个交易者的资金管理系统,班尼特·A.麦克道尔/张轶/万卷出版公司/2009-12/36.00元,7,211
价值投资,詹姆斯·蒙蒂尔/刘寅龙/机械工业/2011-4/58.00元,8,68
投资的头号法则,布朗/刘寅龙/广东经济出版社/2008-3/39.80元,8.1,96
巴菲特传,RogerLowenstein/蒋旭峰、王丽萍/中信出版社/2008-9/49.00元,8.2,1976
苏黎世投机定律,马克斯·贡特尔/高颖/中国经济出版社/2007-4/29.80元,7.7,231
论战,曹仁超/中国人民大学出版社/2009.09/39.80元,7.7,378
大牛市,玛吉·马哈尔/秦传安/上海财经大学出版社有限公司/2011-8/56.00元,7.8,21
笑傲牛熊,【美】史丹·温斯坦/亦明/中国人民大学出版社/2015-9/49.00元,8.9,27
股票投资心理战术,马丁·J.普林格/周媛/中国青年出版社/2009-6/28.00元,7.7,43
7天学会股票分时图,马涛/人民邮电出版社/2015-9/39.80元,8.9,26
港股滚雪球,杨饭/中国经济出版社/2017-4-1/CNY52.00,6.4,40
5000到350万炒股手记,刘宏/2010-9/28.00元,7.2,41
私募江湖,仇晓慧/中信出版社/2010年3月/42.00元,7,381
沸腾的岁月,[美]约翰·布鲁克斯/万丹/中信出版社/2006-10-1/35.00元,7.7,300
牛市需冷静,雪球出品/中国铁道出版社/2015-5-1/49.80,6.2,118
登峰之路,青木/广东经济出版社/2001-01/20.00,8.2,88
向格雷厄姆学思考向巴菲特学投资,劳伦斯・A・克尼厄姆、王庆、徐隽/王庆、徐隽/中国财政经济出版社/2005-1/39.80元,7.5,163
股市稳赚,[美]乔尔·格林布拉特/李佳、卢晓晖/中信出版集团,8.5,68
杰西.利弗莫尔疯狂的一生,理查德•斯米顿/山西人民出版社/2013-5-1/48.00元,7.8,56
专业交易人士技术分析,康斯坦丝·布朗/海南出版社/2003-6/45.00元,8.2,37
让时间为你积累财富,梁军儒/武汉大学出版社/2011-8/28.00元,7.6,74
